100100021954008|2007-08-28|Камчатский край|Камчатского края|91|г.Петропавловск-Камчатский|8.00|@S41.ptk.ru|41S000||        |Избирательная комиссия Камчатского края|Избирательной комиссии Камчатского края|1|||||""|""|""
100100052371465|2014-04-21|Город Севастополь|Город Севастополь|94|г. Севастополь|0.00|@S94.svt.ru|94S000||        |Избирательная комиссия Города Севастополь|Избирательной комиссии Города Севастополь|1|||||""|""|""
100100052371397|2014-04-21|Республика Крым|Республика Крым|93|г. Симферополь|0.00|@S93.smf.ru|93S000||        |Избирательная комиссия Республики Крым|Избирательной комиссии Республики Крым|1|||||""|""|""
24370|1999-12-30|Агинский Бурятский автономный округ|Агинского Бурятского автономного округа|80|п.Агинское|6.00|@S80.agn.ru|80S000|2008-01-23|        |Избирательная комиссия Агинского Бурятского автономного округа|Избирательной комиссии Агинского Бурятского автономного округа|4|||||""|""|""
67576500|1997-06-27|Республика Ингушетия|Республики Ингушетия|06|г.Магас|0.00|@S06.naz.ru|06S000||        |Избирательная комиссия Республики Ингушетия|Избирательной комиссии Республики Ингушетия|8|||||""|""|""
6542|1999-12-30|Республика Калмыкия|Республики Калмыкия|08|г.Элиста|0.00|@S08.els.ru|08S000||        |Избирательная комиссия Республики Калмыкия|Избирательной комиссии Республики Калмыкия|7|||||""|""|""
9163|1999-12-30|Республика Карелия|Республики Карелия|10|г.Петрозаводск|0.00|@S10.ptz.ru|10S000||        |Центральная избирательная комиссия Республики Карелия|Центральной избирательной комиссии Республики Карелия|3|||||""|""|""
11895|1999-12-30|Оренбургская область|Оренбургской области|56|г.Оренбург|2.00|@S56.orb.ru|56S000||        |Избирательная комиссия Оренбургской области|Избирательной комиссии Оренбургской области|2|||||""|""|""
29920|1999-12-30|Пермская область|Пермской области|59|г.Пермь|2.00|@S59.prm.ru|59S000|2005-12-01|        |Избирательная комиссия Пермской области|Избирательной комиссии Пермской области|2|||||""|""|""
26103|1999-12-30|Республика Коми|Республики Коми|11|г.Сыктывкар|0.00|@S11.skt.ru|11S000||        |Избирательная комиссия Республики Коми|Избирательной комиссии Республики Коми|3|||||""|""|""
1047|1999-12-30|Республика Марий Эл|Республики Марий Эл|12|г.Йошкар-Ола|0.00|@S12.iol.ru|12S000||        |Центральная избирательная комиссия Республики Марий Эл|Центральной избирательной комиссии Республики Марий Эл|2|||||""|""|""
4351|1999-12-30|Челябинская область|Челябинской области|74|г.Челябинск|2.00|@S74.chl.ru|74S000||        |Избирательная комиссия Челябинской области|Избирательной комиссии Челябинской области|5|||||""|""|""
4823|1999-12-30|Пензенская область|Пензенской области|58|г.Пенза|0.00|@S58.pnz.ru|58S000||        |Избирательная комиссия Пензенской области|Избирательной комиссии Пензенской области|2|||||""|""|""
24406|1999-12-30|Тверская область|Тверской области|69|г.Тверь|0.00|@S69.twr.ru|69S000||        |Избирательная комиссия Тверской области|Избирательной комиссии Тверской области|6|||||""|""|""
6481|1999-12-30|Республика Тыва|Республики Тыва|17|г.Кызыл|4.00|@S17.kiz.ru|17S000||        |Избирательная комиссия Республики Тыва|Избирательной комиссии Республики Тыва|4|||||""|""|""
13499|1999-12-30|Удмуртская Республика|Удмуртской Республики|18|г.Ижевск|0.00|@S18.ijs.ru|18S000||        |Центральная избирательная комиссия Удмуртской Республики|Центральной избирательной комиссии Удмуртской Республики|2|||||""|""|""
1001000927|2003-09-15|Территория за пределами РФ|[отсутствует]|99|""||@C00.msk.ru|99S000|2007-07-08|        |""|""||||||""|""|""
19980501|1999-12-30|Усть-Ордынский Бурятский автономный округ|Усть-Ордынского Бурятского автономного округа|85|п.Усть-Ордынский|5.00|@S85.uso.ru|85S000|2007-12-19|        |Избирательная комиссия Усть-Ордынского Бурятского автономного округа|Избирательной комиссии Усть-Ордынского Бурятского автономного округа|4|||||""|""|""
23580|1999-12-30|Город Санкт-Петербург|Города Санкт-Петербурга|78|г.Санкт-Петербург|0.00|@S78.spg.ru|78S000||        |Санкт-Петербургская городская избирательная комиссия|Санкт-Петербургской городской избирательной комиссии|3|||||""|""|""
2146|1999-12-30|Псковская область|Псковской области|60|г.Псков|0.00|@S60.psk.ru|60S000||        |Избирательная комиссия Псковской области|Избирательной комиссии Псковской области|3|||||""|""|""
13181|1999-12-30|Еврейская автономная область|Еврейской автономной области|79|г.Биробиджан|7.00|@S79.brb.ru|79S000||        |Избирательная комиссия Еврейской автономной области|Избирательной комиссии Еврейской автономной области|1|||||""|""|""
21130|1999-12-30|Корякский автономный округ|Корякского автономного округа|82|п.Палана|9.00|@S82.tig.ru|82S000|2007-07-01|        |Избирательная комиссия Корякского автономного округа|Избирательной комиссии Корякского автономного округа|1|||||""|""|""
29313|1999-12-30|Ненецкий автономный округ|Ненецкого автономного округа|83|г.Нарьян-Мар|0.00|@S83.nrm.ru|83S000||        |Избирательная комиссия Ненецкого автономного округа|Избирательная комиссия Ненецкого автономного округа|3|||||""|""|""
